customer_id,churn,gender_male,senior_citizen_65,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,charges_monthly,charges_total,internet,charges_daily,charges_average,charges_average_log,charges_total_log,charges_monthly_log,tenure_log,subcription_no_streaming,subcription_total,streaming,family,dsl,fiber_optic,no_internet,month_to_month,one_year,two_year,bank_transfer_automatic,credit_card_automatic,electronic_check,mailed_check,automatic_payment,subcription_total_group,subcription_no_streaming_group
0002-ORFBO,0,0,0,1,1,9,1,0,DSL,0,1,0,1,1,0,one_year,1,mailed_check,65.6,593.3,1,2.1866666666666665,65.89,4.187986684925728,6.385700173264597,4.183575695950044,2.1972245773362196,2,3,1,1,1,0,0,0,1,0,0,0,0,1,0,3-4,2
0003-MKNFE,0,1,0,0,0,9,1,1,DSL,0,0,0,0,0,1,month_to_month,0,mailed_check,59.9,542.4,1,1.9966666666666666,60.23,4.09817056705563,6.296003736626186,4.092676505121403,2.1972245773362196,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0-2,0-1
0004-TLHLJ,1,1,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,month_to_month,1,electronic_check,73.9,280.85,1,2.4633333333333334,70.95,4.261975403606051,5.637820718978442,4.302712827954156,1.3862943611198906,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0-2,0-1
0011-IGKFF,1,1,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,month_to_month,1,electronic_check,98.0,1237.85,1,3.2666666666666666,95.41785714285713,4.558265742728871,7.121131282737294,4.584967478670572,2.5649493574615367,2,4,1,1,0,1,0,1,0,0,0,0,1,0,0,3-4,2
0013-EXCHZ,1,0,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,month_to_month,1,mailed_check,83.9,267.4,1,2.796666666666667,87.82499999999999,4.4753461981518905,5.588745664667843,4.429625613473161,1.0986122886681098,1,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0-2,0-1
0013-MHZWF,0,0,0,0,1,9,1,0,DSL,0,0,0,1,1,1,month_to_month,1,credit_card_automatic,69.4,571.45,1,2.3133333333333335,64.08500000000001,4.160210327181788,6.348176990343607,4.239886867512759,2.1972245773362196,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,3-4,0-1
0013-SMEOE,0,0,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,two_year,1,bank_transfer_automatic,109.7,7904.25,1,3.6566666666666667,111.30486111111111,4.712272933078964,8.975155868482156,4.697749367281185,4.2626798770413155,4,6,1,1,0,1,0,0,0,1,1,0,0,0,1,5-6,3-4
0014-BMAQU,0,1,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,two_year,1,credit_card_automatic,84.65,5377.8,1,2.8216666666666668,85.35078125,4.446769602684204,8.590034647591372,4.438525108579144,4.143134726391533,2,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0-2,2
0015-UOCOJ,0,0,1,0,0,7,1,0,DSL,1,0,0,0,0,0,month_to_month,1,electronic_check,48.2,340.35,1,1.6066666666666667,48.56875,3.8829803199754154,5.829974499893961,3.8753590210565547,1.9459101490553132,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0-2,0-1
0016-QLJIS,0,0,0,1,1,65,1,1,DSL,1,1,1,1,1,1,two_year,1,mailed_check,90.45,5957.9,1,3.015,91.64166666666665,4.517886044528888,8.692473348976614,4.504797211841304,4.174387269895637,4,6,1,1,1,0,0,0,0,1,0,0,0,1,0,5-6,3-4
